timepoint_id,timestamp,timeseries
352820,2050040120,2050_2050-year-round
352824,2050040200,2050_2050-year-round
352828,2050040204,2050_2050-year-round
352832,2050040208,2050_2050-year-round
352836,2050040212,2050_2050-year-round
352840,2050040216,2050_2050-year-round
352844,2050040220,2050_2050-year-round
352848,2050040300,2050_2050-year-round
352852,2050040304,2050_2050-year-round
352856,2050040308,2050_2050-year-round
352860,2050040312,2050_2050-year-round
352864,2050040316,2050_2050-year-round
352868,2050040320,2050_2050-year-round
352872,2050040400,2050_2050-year-round
352876,2050040404,2050_2050-year-round
352880,2050040408,2050_2050-year-round
352884,2050040412,2050_2050-year-round
352888,2050040416,2050_2050-year-round
352892,2050040420,2050_2050-year-round
352896,2050040500,2050_2050-year-round
352900,2050040504,2050_2050-year-round
352904,2050040508,2050_2050-year-round
352908,2050040512,2050_2050-year-round
352912,2050040516,2050_2050-year-round
352916,2050040520,2050_2050-year-round
352920,2050040600,2050_2050-year-round
352924,2050040604,2050_2050-year-round
352928,2050040608,2050_2050-year-round
352932,2050040612,2050_2050-year-round
352936,2050040616,2050_2050-year-round
352940,2050040620,2050_2050-year-round
352944,2050040700,2050_2050-year-round
352948,2050040704,2050_2050-year-round
352952,2050040708,2050_2050-year-round
352956,2050040712,2050_2050-year-round
352960,2050040716,2050_2050-year-round
352964,2050040720,2050_2050-year-round
352968,2050040800,2050_2050-year-round
352972,2050040804,2050_2050-year-round
352976,2050040808,2050_2050-year-round
352980,2050040812,2050_2050-year-round
352984,2050040816,2050_2050-year-round
352988,2050040820,2050_2050-year-round
352992,2050040900,2050_2050-year-round
352996,2050040904,2050_2050-year-round
353000,2050040908,2050_2050-year-round
353004,2050040912,2050_2050-year-round
353008,2050040916,2050_2050-year-round
353012,2050040920,2050_2050-year-round
353016,2050041000,2050_2050-year-round
353020,2050041004,2050_2050-year-round
353024,2050041008,2050_2050-year-round
353028,2050041012,2050_2050-year-round
353032,2050041016,2050_2050-year-round
353036,2050041020,2050_2050-year-round
353040,2050041100,2050_2050-year-round
353044,2050041104,2050_2050-year-round
353048,2050041108,2050_2050-year-round
353052,2050041112,2050_2050-year-round
353056,2050041116,2050_2050-year-round
353060,2050041120,2050_2050-year-round
353064,2050041200,2050_2050-year-round
353068,2050041204,2050_2050-year-round
353072,2050041208,2050_2050-year-round
353076,2050041212,2050_2050-year-round
353080,2050041216,2050_2050-year-round
353084,2050041220,2050_2050-year-round
353088,2050041300,2050_2050-year-round
353092,2050041304,2050_2050-year-round
353096,2050041308,2050_2050-year-round
353100,2050041312,2050_2050-year-round
353104,2050041316,2050_2050-year-round
353108,2050041320,2050_2050-year-round
353112,2050041400,2050_2050-year-round
353116,2050041404,2050_2050-year-round
353120,2050041408,2050_2050-year-round
353124,2050041412,2050_2050-year-round
353128,2050041416,2050_2050-year-round
353132,2050041420,2050_2050-year-round
353136,2050041500,2050_2050-year-round
353140,2050041504,2050_2050-year-round
353144,2050041508,2050_2050-year-round
