GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
154372,1972,0.0,0.0,.
154372,1975,0.0,0.0,.
154372,2002,0.0,0.0,.
154373,1964,0.0,0.0,.
154373,1979,0.0,0.0,.
154374,1979,0.0,0.0,.
154375,1980,0.0,0.0,.
154376,1979,0.0,0.0,.
154377,1981,0.0,0.0,.
154378,1902,0.0,0.0,.
154379,1940,0.0,0.0,.
154380,1927,0.0,0.0,.
154381,1958,0.0,0.0,.
154382,1969,0.0,0.0,.
154383,1928,0.0,0.0,.
154384,1958,0.0,0.0,.
154385,1921,0.0,0.0,.
154385,1924,0.0,0.0,.
154386,1958,0.0,0.0,.
154387,1965,0.0,0.0,.
154388,1979,0.0,0.0,.
154389,1907,0.0,0.0,.
154390,1949,0.0,0.0,.
154390,1950,0.0,0.0,.
154391,1963,0.0,0.0,.
154392,1908,0.0,0.0,.
154393,1913,0.0,0.0,.
154393,1922,0.0,0.0,.
154393,1928,0.0,0.0,.
154394,1965,0.0,0.0,.
154395,1943,0.0,0.0,.
154396,1924,0.0,0.0,.
154397,1948,0.0,0.0,.
154398,1958,0.0,0.0,.
154399,1916,0.0,0.0,.
154400,1921,0.0,0.0,.
154401,1921,0.0,0.0,.
154402,1921,0.0,0.0,.
154403,2010,0.0,0.0,.
154403,2011,0.0,0.0,.
154404,1979,0.0,0.0,.
154405,1965,0.0,0.0,.
154405,1966,0.0,0.0,.
154406,1904,0.0,0.0,.
154407,1962,0.0,0.0,.
154408,1906,0.0,0.0,.
154409,1930,0.0,0.0,.
154410,2002,0.0,0.0,.
154411,1954,0.0,0.0,.
154412,1942,0.0,0.0,.
154413,1940,0.0,0.0,.
154414,1922,0.0,0.0,.
154415,1925,0.0,0.0,.
154416,1955,0.0,0.0,.
154417,1944,0.0,0.0,.
154418,1965,0.0,0.0,.
154419,1965,0.0,0.0,.
154420,1958,0.0,0.0,.
154421,1910,0.0,0.0,.
154421,1917,0.0,0.0,.
154421,1939,0.0,0.0,.
154422,1950,0.0,0.0,.
154423,1917,0.0,0.0,.
154424,1923,0.0,0.0,.
154425,1931,0.0,0.0,.
154425,1953,0.0,0.0,.
154426,1979,0.0,0.0,.
154427,1928,0.0,0.0,.
154428,1928,0.0,0.0,.
154429,1929,0.0,0.0,.
154430,1921,0.0,0.0,.
154431,1963,0.0,0.0,.
154432,1971,0.0,0.0,.
154432,1972,0.0,0.0,.
154432,1975,0.0,0.0,.
154432,1979,0.0,0.0,.
154432,1980,0.0,0.0,.
154432,1982,0.0,0.0,.
154432,1983,0.0,0.0,.
154432,1985,0.0,0.0,.
154433,1931,0.0,0.0,.
154434,1914,0.0,0.0,.
154435,1980,0.0,0.0,.
154436,1948,0.0,0.0,.
154437,1917,0.0,0.0,.
154437,1986,0.0,0.0,.
154438,1910,0.0,0.0,.
154439,1918,0.0,0.0,.
154440,1925,0.0,0.0,.
154441,1903,0.0,0.0,.
154441,1907,0.0,0.0,.
154441,1910,0.0,0.0,.
154442,1962,0.0,0.0,.
154443,1984,0.0,0.0,.
154443,2007,0.0,0.0,.
154444,1982,0.0,0.0,.
154445,1961,0.0,0.0,.
154445,1962,0.0,0.0,.
154445,1964,0.0,0.0,.
154446,1961,0.0,0.0,.
154446,1962,0.0,0.0,.
154446,1964,0.0,0.0,.
154447,1961,0.0,0.0,.
154447,1962,0.0,0.0,.
154447,1964,0.0,0.0,.
154448,1982,0.0,0.0,.
154449,1913,0.0,0.0,.
154449,1923,0.0,0.0,.
154449,1925,0.0,0.0,.
154450,1913,0.0,0.0,.
154450,1914,0.0,0.0,.
154450,1921,0.0,0.0,.
154450,1925,0.0,0.0,.
154451,1923,0.0,0.0,.
154451,1948,0.0,0.0,.
154451,1980,0.0,0.0,.
154452,1951,0.0,0.0,.
154453,1921,0.0,0.0,.
154453,1929,0.0,0.0,.
154454,1928,0.0,0.0,.
154455,1908,0.0,0.0,.
154455,1911,0.0,0.0,.
154456,1913,0.0,0.0,.
154457,1905,0.0,0.0,.
154457,1906,0.0,0.0,.
154457,1907,0.0,0.0,.
154457,1909,0.0,0.0,.
154458,1919,0.0,0.0,.
154458,1943,0.0,0.0,.
154459,1913,0.0,0.0,.
154460,1904,0.0,0.0,.
154460,1932,0.0,0.0,.
154461,1917,0.0,0.0,.
154462,1958,0.0,0.0,.
154463,1929,0.0,0.0,.
154464,1929,0.0,0.0,.
154465,1913,0.0,0.0,.
154466,1921,0.0,0.0,.
154467,1907,0.0,0.0,.
154468,1976,0.0,0.0,.
154469,1911,0.0,0.0,.
154469,1912,0.0,0.0,.
154470,1960,0.0,0.0,.
154471,1971,0.0,0.0,.
154471,1973,0.0,0.0,.
154472,1971,0.0,0.0,.
154472,1973,0.0,0.0,.
