GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
154696,1961,190.0,.
154697,1953,15.0,.
154698,1953,26.0,.
154699,1957,2.8,.
154700,1924,3.2,.
154701,1952,11.0,.
154702,1958,98.7,.
154703,1955,32.0,.
154704,1912,3.8,.
154705,1928,32.0,.
154706,1932,7.2,.
154707,1944,1.0,.
154708,1951,18.0,.
154709,1952,11.0,.
154710,1949,14.2,.
154710,1950,28.4,.
154711,1921,1.1,.
154712,1958,19.2,.
154713,1958,40.8,.
154714,1957,45.0,.
154714,1958,64.8,.
154715,1911,6.6,.
154715,1912,3.3,.
154715,1927,3.9,.
154715,1952,5.0,.
154716,1964,372.5,.
154717,1924,1.0,.
154717,1952,14.399999999999995,.
154718,1963,114.3,.
154719,1930,8.4,.
154719,1950,7.5,.
154720,1949,8.0,.
154721,1954,18.0,.
154722,1938,107.0,.
154722,1941,186.3,.
154722,1942,62.1,.
154722,1943,186.3,.
154722,1944,62.1,.
154722,1981,212.6,.
154722,1982,345.6,.
154723,1964,26.0,.
154724,1953,100.0,.
154725,1955,15.0,.
154726,1967,80.0,.
154727,1962,30.0,.
154728,1968,540.0,.
154728,1969,675.0,.
154728,1970,405.0,.
154728,1971,405.0,.
154729,1955,120.0,.
154730,1953,70.0,.
154730,1954,280.0,.
154730,1955,280.0,.
154730,1956,210.0,.
154730,1957,150.5,.
154731,1977,50.0,.
154731,1978,25.0,.
154731,1979,25.0,.
154732,1965,10.0,.
154733,1975,290.0,.
154734,1975,290.0,.
154733,2011,307.0,.
154734,2011,307.0,.
154737,1960,81.6,.
154736,1960,81.6,.
154735,1960,81.6,.
154737,1963,81.6,.
154736,1963,81.6,.
154735,1963,81.6,.
154737,1966,121.8,.
154736,1966,121.8,.
154735,1966,121.8,.
154738,1907,2.5,.
154739,1927,30.0,.
154740,2002,213.0,.
154741,1951,70.5,.
154741,1952,75.0,.
154741,1955,133.6,.
154742,1896,2.0,.
154743,1910,5.0,.
154744,1910,1.2,.
154745,1912,1.0,.
154746,1911,3.8,.
154747,2001,5.2,.
154747,2012,25.2,.
154748,1921,1.2,.
154748,1964,0.6,.
154749,1925,1.4,.
154750,1939,0.6,.
154750,1988,1.0,.
154751,1988,1.0,.
154752,1937,0.2,.
154752,1983,3.4,.
154753,1958,4.0,.
154754,1958,1.9,.
154755,1958,2.8,.
154755,1961,1.4,.
154756,1920,0.6,.
154756,1940,0.6,.
154758,1972,729.9,.
154757,1972,729.9,.
154758,1973,729.9,.
154757,1973,729.9,.
154759,1931,1.0,.
154759,1932,45.0,.
154759,1949,45.0,.
154759,1958,45.0,.
154760,1958,240.0,.
154761,1953,134.0,.
154762,1969,2.7,.
154763,1904,15.3,.
154763,1929,7.5,.
154764,1960,80.8,.
154764,2013,30.4,.
154765,1898,6.0,.
154765,2013,6.8,.
154766,1959,104.8,.
154767,1910,26.8,.
154767,1911,8.0,.
154768,1915,35.0,.
154768,1919,17.5,.
154768,1924,17.5,.
154769,1915,1.2,.
154769,2006,0.4,.
154770,1908,8.8,.
154770,1910,8.8,.
154770,1994,20.0,.
154771,1930,6.0,.
154771,1955,6.0,.
154772,1961,798.0,.
154772,1973,250.8,.
154772,1974,250.8,.
154773,1967,464.4,.
154773,1968,77.4,.
154773,1969,154.8,.
154774,1959,287.8,.
154774,1960,475.0,.
154774,1961,192.8,.
154775,2011,122.0,.
154775,2012,244.0,.
154775,2013,122.0,.
154775,2014,122.0,.
154775,2015,122.0,.
154775,2016,122.0,.
154775,2017,122.0,.
154775,2018,122.0,.
154776,1955,90.0,.
154777,1957,184.0,.
154777,1958,323.7,.
154777,1959,312.0,.
154777,1960,312.0,.
154777,1973,688.0,.
154778,1945,25.0,.
154778,1947,25.0,.
154779,1926,43.2,.
154780,1930,27.0,.
154780,1931,27.0,.
154780,1952,27.0,.
154780,2013,3.6,.
154781,1912,24.0,.
154781,1945,40.0,.
154782,1963,121.5,.
154782,1983,40.5,.
154783,1968,300.0,.
154784,1955,352.8,.
154784,1956,264.6,.
154784,1957,441.0,.
154784,1958,352.8,.
154784,1977,285.0,.
154784,1978,380.0,.
154784,1979,380.0,.
154785,1962,270.0,.
154785,1975,222.0,.
154785,1976,111.0,.
154786,1970,270.0,.
154786,1971,135.0,.
154786,1978,270.0,.
154787,1969,270.0,.
154787,1970,135.0,.
154787,1979,405.0,.
154788,1964,27.5,.
154789,1959,133.6,.
154789,1961,133.6,.
154789,1964,255.0,.
154789,1972,400.0,.
154790,1963,192.0,.
154790,1968,256.0,.
154790,1971,384.0,.
154791,1960,33.4,.
154791,1961,33.4,.
154792,1958,19.0,.
154792,1959,19.0,.
154793,1927,3.2,.
154793,1928,3.2,.
154794,1950,24.0,.
154794,1951,12.0,.
154795,1939,51.6,.
154796,1922,3.0,.
154797,1968,10.0,.
154798,1994,4.8,.
154799,1982,23.7,.
154800,1982,11.8,.
154801,2002,15.9,.
154802,1986,49.8,.
154803,1987,4.4,.
154804,1986,2806.4,.
154804,1988,1403.2,.
154805,1959,50.0,.
154805,1964,59.7,.
154807,1979,446.4,.
154806,1979,446.4,.
154807,1980,446.4,.
154806,1980,446.4,.
154807,1984,534.8,.
154806,1984,534.8,.
154808,1973,46.2,.
154808,1974,23.1,.
154808,1976,23.1,.
154809,1984,823.7,.
154809,1986,823.7,.
154810,1972,81.0,.
154810,2001,26.8,.
154811,1985,1159.0,.
154811,1986,1164.0,.
154812,1984,702.0,.
154813,1978,402.3,.
154814,1980,642.2,.
154815,2001,867.9000000000003,.
154816,2009,280.6,.
154817,1981,169.2,.
154818,1979,300.0,.
154819,1978,28.0,.
154820,1941,145.0,.
154820,1942,250.0,.
154820,1943,375.0,.
154820,1944,125.0,.
154820,1947,125.0,.
154820,1948,125.0,.
154820,1949,375.0,.
154820,1950,375.0,.
154820,1951,385.0,.
154820,1975,600.0,.
154820,1976,1200.0,.
154820,1978,805.0,.
154820,1979,805.0,.
154820,1980,805.0,.
154821,1973,100.0,.
154821,1983,160.5,.
154821,1984,53.5,.
154822,1978,525.0,.
154822,1980,525.0,.
154822,1983,527.2,.
154823,1975,210.0,.
154823,1976,210.0,.
154823,1984,105.0,.
154824,1977,49.0,.
154825,1975,405.0,.
154825,1978,405.0,.
154826,1979,410.9,.
154826,1980,410.9,.
154827,1982,37.1,.
154827,1983,37.1,.
154828,1931,1.2,.
154828,1932,20.7,.
154828,1952,67.5,.
154828,1953,67.5,.
154828,1978,205.2,.
154828,1979,205.2,.
154829,1952,112.5,.
154829,1953,112.5,.
154829,1954,112.5,.
154829,1956,112.5,.
154830,1981,1140.0,.
154830,1982,570.0,.
154831,1905,2.3,.
154831,1906,2.3,.
154832,1906,3.6,.
154833,1981,100.0,.
154833,1984,100.0,.
154834,1978,61.8,.
154835,1978,223.5,.
154836,1981,552.3,.
154837,1946,0.9,.
154837,1947,1.1,.
154837,1986,5.4,.
154838,1940,1.0,.
154838,1951,0.5,.
154839,2009,0.8,.
154839,2010,0.8999999999999999,.
154840,1950,20.0,.
154840,1951,20.0,.
154841,1925,10.2,.
154842,2004,3.3000000000000003,.
154843,1927,2.7,.
154843,1942,5.0,.
154843,1997,20.0,.
154844,1953,16.6,.
154844,1954,33.2,.
154845,1940,27.9,.
154846,1960,17.2,.
154847,1958,4.8,.
154848,1963,101.2,.
154848,1964,50.6,.
154849,1956,12.0,.
154850,1958,12.9,.
154851,1948,5.0,.
154852,1955,41.4,.
154853,1956,38.5,.
154854,1906,6.6000000000000005,.
154854,1908,2.2,.
154855,1927,29.6,.
154855,1928,29.6,.
154856,1921,15.0,.
154856,1929,15.0,.
154857,1924,73.6,.
154857,1929,36.8,.
154857,1951,96.9,.
154858,1936,92.4,.
154858,1937,90.0,.
154859,1967,639.8,.
154859,1985,239.4,.
154859,1986,239.4,.
154860,1949,3.0,.
154861,1910,0.7,.
154861,1927,1.7,.
154861,1928,1.7,.
154862,1917,9.9,.
154862,1923,10.6,.
154862,1983,22.5,.
154862,1987,22.5,.
154863,1920,14.0,.
154863,1932,18.0,.
154865,1986,820.0,.
154864,1986,820.0,.
154865,1987,820.0,.
154864,1987,820.0,.
154866,1913,0.2,.
154866,1916,0.3,.
154866,1917,0.6,.
154867,1924,25.5,.
154867,1931,25.5,.
154868,1921,0.4,.
154868,1941,1.0,.
154868,1950,1.0,.
154868,1982,1.5,.
154869,1914,2.0,.
154870,1989,54.0,.
154870,2006,54.0,.
154871,1964,10.0,.
154872,2008,15.0,.
154873,1911,1.7999999999999998,.
154874,1911,2.4,.
154875,1904,2.6,.
154876,1983,4.8,.
154877,1968,20.0,.
154878,1963,38.6,.
154879,1977,129.4,.
154880,1943,43.5,.
154880,1951,43.5,.
154880,1961,80.0,.
154881,1979,1.0,.
154882,1980,4.9,.
154883,1981,9.0,.
154884,1981,9.9,.
154885,1981,5.1,.
154887,2011,2.3000000000000007,.
154888,1958,1.0,.
154888,1963,1.5,.
154888,1966,1.1,.
154888,1976,1.6,.
154888,1986,1.4,.
154888,1995,2.8,.
154889,2002,267.9,.
154889,2004,89.3,.
154889,2008,149.6,.
154890,1984,293.6,.
154891,1982,8.0,.
154892,1993,1.5,.
154894,1986,14.0,.
154893,1986,14.0,.
154894,2000,7.0,.
154893,2000,7.0,.
154894,2002,5.0,.
154893,2002,5.0,.
154894,2016,5.0,.
154893,2016,5.0,.
154895,1986,6.6,.
154896,1967,2.7,.
154897,1988,3.6,.
154898,1996,32.7,.
154899,1947,16.5,.
154900,1987,14.0,.
154901,2011,558.5,.
154902,1995,101.5,.
154902,2006,85.0,.
154903,1990,0.7,.
154903,2001,0.7,.
154903,2002,1.9,.
154903,2003,3.8,.
154903,2004,2.8,.
154903,2015,4.199999999999998,.
154904,1990,6.6,.
154905,1994,12.8,.
154906,1987,3.4,.
154907,1991,1.8,.
154908,1903,1.0,.
154908,1904,2.0,.
154909,1986,5.0,.
154910,1993,40.0,.
154911,1993,19.5,.
154912,1986,3.5,.
154913,1992,59.5,.
154914,1988,6.1,.
154915,1986,32.3,.
154915,1987,32.3,.
154916,1982,7.8,.
154917,1997,26.6,.
154918,1990,1.0,.
154919,2003,98.2,.
154920,1993,50.4,.
154921,2011,50.4,.
154922,2011,109.3,.
154923,1996,73.8,.
154924,1996,49.5,.
154924,2012,174.0,.
154925,1992,18.0,.
154926,1993,22.0,.
154927,1995,266.29999999999995,.
154928,1983,110.0,.
154929,1985,55.0,.
154929,1986,55.0,.
154930,1992,1.2,.
154931,1993,11.4,.
154932,1988,5.2,.
154932,1995,4.5,.
154933,1992,1.6,.
154933,1993,1.6,.
154934,1994,70.0,.
154935,1991,6.5,.
154936,1996,50.0,.
154937,1986,54.8,.
154938,1986,27.4,.
154939,1986,54.8,.
154940,1994,166.4,.
154941,1985,5.0,.
154942,1987,3.5,.
154943,2000,40.0,.
154944,1995,90.0,.
154945,1993,2.0,.
154946,1994,12.0,.
154947,1997,10.0,.
154948,1994,13.2,.
154948,2006,24.0,.
154948,2007,63.0,.
154948,2012,128.0,.
154949,1995,71.5,.
154950,1995,54.0,.
154951,1994,4.5,.
154952,1998,2.1,.
154953,1997,149.39999999999995,.
154954,2001,44.0,.
154955,1997,173.9,.
154956,1984,111.8,.
154957,1988,8.0,.
154958,1997,248.0,.
154959,1983,11.5,.
154960,1995,2.4000000000000004,.
154960,2007,3.2,.
154961,1999,10.2,.
154962,1989,12.6,.
154962,2011,3.0,.
154963,1986,499.5,.
154964,1980,24.9,.
154965,1979,24.9,.
154966,2011,26.0,.
154967,1999,8.4,.
154967,2000,2.1,.
154968,1957,24.3,.
154968,2013,14.4,.
154969,1993,176.39999999999995,.
154970,1984,165.0,.
154971,2003,287.0,.
154972,2002,95.9,.
154973,2001,29.70000000000001,.
154974,2001,91.8,.
154974,2008,179.1,.
154975,2002,88.0,.
154976,2003,186.0,.
154977,2002,60.5,.
154978,2002,10.0,.
154979,2008,697.8,.
154980,2001,28.0,.
154980,2002,14.0,.
154981,2002,24.6,.
154982,2002,22.5,.
154983,2002,22.5,.
154984,2002,22.5,.
154985,1974,608.3,.
154985,1975,617.0,.
154985,1976,608.3,.
154985,1979,608.3,.
154986,1972,100.8,.
154987,1974,310.5,.
154987,1975,103.5,.
154987,2005,622.1,.
154987,2006,289.9,.
154988,1974,496.0,.
154988,1977,541.3,.
154989,1977,586.2,.
154990,2001,24.5,.
154991,1974,58.0,.
154992,1950,0.7,.
154992,1960,0.8,.
154992,1965,1.2,.
154993,1999,75.6,.
154994,1980,207.0,.
154995,2001,3.7,.
154995,2010,1.4,.
154995,2014,8.3,.
154996,1985,424.8,.
154996,1990,424.8,.
154996,2006,458.1,.
154996,2009,458.1,.
154998,1981,277.2,.
154997,1981,277.2,.
154998,1985,289.8,.
154997,1985,289.8,.
154999,1936,2.4,.
154999,1937,61.5,.
154999,1939,260.0,.
154999,1941,130.0,.
154999,1942,130.0,.
154999,1943,127.0,.
154999,1952,328.5,.
155000,1992,14.8,.
155001,1922,10.0,.
155002,1970,2.3,.
155003,1976,7.5,.
155003,1977,7.5,.
155003,1983,20.0,.
155004,1988,17.4,.
155005,1988,101.2,.
155006,2006,26.0,.
155007,2008,1.6,.
155007,2009,1.6,.
155008,1987,130.0,.
155009,2008,3.5,.
155010,1984,1.5,.
155011,1986,18.8,.
155012,1985,3.1,.
155013,1986,1.0,.
155014,2003,38.40000000000001,.
155015,1986,6.0,.
155016,2016,4.5,.
155017,1983,2.0,.
155018,1985,2.0,.
155019,1990,11.8,.
155020,1986,2.6,.
155021,2004,19.2,.
155022,2004,60.3,.
155023,2001,22.3,.
155024,1986,1.3,.
155025,1990,55.8,.
155026,2004,4.8,.
155027,2000,2.0,.
155027,2010,4.5,.
155028,2000,7.0,.
155029,1985,4.0,.
155030,1984,8.7,.
155031,1989,10.4,.
155032,1986,1.7,.
155032,2018,1.0,.
155033,2013,180.09999999999997,.
155034,1986,1.7999999999999998,.
155035,1989,1.4,.
155036,1988,5.0,.
155036,1989,5.0,.
155037,2003,13.0,.
155038,1987,5.0,.
155039,2011,3.6,.
155040,1985,17.0,.
155041,1989,133.2,.
155042,1984,8.0,.
155043,1991,55.5,.
155044,2015,2.6,.
155045,1987,1.8,.
155046,1986,3.1,.
155047,2002,4.4,.
155048,1987,2.2,.
155049,1987,113.5,.
155050,1989,49.5,.
155051,2004,3.0,.
155051,2011,2.4,.
155052,1990,36.2,.
155053,1987,1.8,.
155054,1959,3.0,.
155054,2012,0.5,.
155055,1988,5.5,.
155056,2007,7.8,.
155057,2017,20.0,.
155058,2017,13.8,.
155059,1986,34.2,.
155060,1986,34.2,.
155061,1987,34.2,.
155062,1988,35.0,.
155063,1988,35.0,.
155064,1989,92.0,.
