TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_dbid,trans_derating_factor,trans_terrain_multiplier,trans_new_build_allowed
41-50,UT_N,WY_SW,420.676516651321,0.973860373130212,2413.0,312,0.59,0.958,1
43-44,WA_ID_AVA,WA_N_CEN,290.671498945696,0.98193851041507,5863.0,85,0.59,1.2,1
44-45,WA_N_CEN,WA_SEATAC,138.928235137051,0.991367399689746,2013.0,1773,0.59,1.706,0
44-46,WA_N_CEN,WA_W,124.392847675913,0.992270586793382,14819.0,1800,0.59,1.728,1
45-46,WA_SEATAC,WA_W,14.5353874611377,0.999096812896364,23515.0,427,0.59,1.547,1
47-48,WY_NE,WY_NW,309.463437648053,0.980770833479477,0.0,141,0.59,0.9,1
47-49,WY_NE,WY_SE,334.81752008753,0.979195403836126,1648.0,101,0.59,0.735,1
48-49,WY_NW,WY_SE,365.979960157412,0.977259059582202,914.0,2111,0.59,0.806,1
48-50,WY_NW,WY_SW,324.520411917461,0.97983523647415,380.0,2126,0.59,0.854,1
49-50,WY_SE,WY_SW,468.247584792873,0.9709044439975,804.0,165,0.59,0.843,1
