regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
UT_S-Bio_Solid,2050,6,393.18615,19461314
UT_S-Bio_Solid,2050,7,410.09404800000004,19507429
UT_S-Bio_Solid,2050,8,456.50189550000005,19529853
UT_S-Bio_Solid,2050,9,512.6144204999999,19548705
UT_S-Bio_Solid,2050,10,579.0786015,19564303
UT_S-Bio_Solid,2050,11,643.767033,19585612
UT_S-Bio_Solid,2050,12,722.86637325,19604178
UT_S-Bio_Solid,2050,13,924.17328675,19631349
UT_S-Bio_Solid,2050,14,1177.3595925,19728581
WA_ID_AVA-Bio_Solid,2050,1,0.8012969999999999,59316
WA_ID_AVA-Bio_Solid,2050,2,1.42231425,7805037
WA_ID_AVA-Bio_Solid,2050,3,2.11880025,15730325
WA_ID_AVA-Bio_Solid,2050,4,2.3227469999999997,43337864
WA_ID_AVA-Bio_Solid,2050,5,4.1414835000000005,50041514
WA_ID_AVA-Bio_Solid,2050,6,4.9819035,58430148
WA_ID_AVA-Bio_Solid,2050,7,5.7382815,72793353
WA_ID_AVA-Bio_Solid,2050,8,68.118939,73129202
WA_ID_AVA-Bio_Solid,2050,9,72.23240849999999,73156118
WA_ID_AVA-Bio_Solid,2050,10,87.59627624999999,73240308
WA_ID_AVA-Bio_Solid,2050,11,95.19217575,73268670
WA_ID_AVA-Bio_Solid,2050,12,97.37847525,73269078
WA_ID_AVA-Bio_Solid,2050,13,97.86884099999999,74010145
WA_ID_AVA-Bio_Solid,2050,14,102.350598,74681454
WA_ID_AVA-Bio_Solid,2050,15,113.189118,75055340
WA_ID_AVA-Bio_Solid,2050,16,126.5607315,75376166
WA_ID_AVA-Bio_Solid,2050,17,142.459401,75660009
WA_ID_AVA-Bio_Solid,2050,18,161.156814,75909990
WA_ID_AVA-Bio_Solid,2050,19,182.61928125,76141149
WA_ID_AVA-Bio_Solid,2050,20,208.0302735,76327143
WA_ID_AVA-Bio_Solid,2050,21,240.143736,76385027
WA_ID_AVA-Bio_Solid,2050,22,271.24905674999997,76511148
WA_ID_AVA-Bio_Solid,2050,23,301.51431975,76739624
WA_ID_AVA-Bio_Solid,2050,24,337.8268635,78132062
WA_N_CEN-Bio_Solid,2050,1,1.3536074999999999,5567913
WA_N_CEN-Bio_Solid,2050,2,2.407755,11429128
WA_N_CEN-Bio_Solid,2050,3,2.8755405,21141591
WA_N_CEN-Bio_Solid,2050,4,6.21922875,28458207
WA_N_CEN-Bio_Solid,2050,5,64.80121199999999,28565292
WA_N_CEN-Bio_Solid,2050,6,79.695483,29141740
WA_N_CEN-Bio_Solid,2050,7,1357071.568272,29141762
WA_SEATAC-Bio_Solid,2050,1,1.4393399999999998,1088835
WA_SEATAC-Bio_Solid,2050,2,1.96182525,6380401
WA_SEATAC-Bio_Solid,2050,3,2.45955675,13852845
WA_SEATAC-Bio_Solid,2050,4,10.388243249999999,14233010
WA_SEATAC-Bio_Solid,2050,5,11.804037,15738371
WA_SEATAC-Bio_Solid,2050,6,79.40628675,15786057
WA_SEATAC-Bio_Solid,2050,7,91.81600574999999,15788707
WA_SEATAC-Bio_Solid,2050,8,99.34174949999999,16126814
WA_SEATAC-Bio_Solid,2050,9,439.69578974999996,16158458
WA_W-Bio_Solid,2050,1,1.19989275,6513060
WA_W-Bio_Solid,2050,2,1.730106,43449872
WA_W-Bio_Solid,2050,3,2.9069355,74858188
WA_W-Bio_Solid,2050,4,4.688118749999999,88476868
WA_W-Bio_Solid,2050,5,5.8628955000000005,114105711
WA_W-Bio_Solid,2050,6,43.86811275,115098260
WA_W-Bio_Solid,2050,7,51.82263974999999,115153391
WA_W-Bio_Solid,2050,8,56.696954999999996,115521974
WA_W-Bio_Solid,2050,9,58.405326,116985514
WA_W-Bio_Solid,2050,10,59.992464,118595210
WA_W-Bio_Solid,2050,11,60.91680525,120543701
WA_W-Bio_Solid,2050,12,66.09166725,121461675
WA_W-Bio_Solid,2050,13,72.2097075,122294096
WA_W-Bio_Solid,2050,14,78.03722325,123354647
WA_W-Bio_Solid,2050,15,85.51454625000001,124262510
WA_W-Bio_Solid,2050,16,94.26698925,125135560
WA_W-Bio_Solid,2050,17,104.89528349999999,125918039
WA_W-Bio_Solid,2050,18,116.99648624999999,126725701
WA_W-Bio_Solid,2050,19,131.98180274999999,127436357
WA_W-Bio_Solid,2050,20,150.13451249999997,128091209
WA_W-Bio_Solid,2050,21,171.89523225,131782515
WY_NE-Bio_Solid,2050,1,0.887271,331227
WY_NE-Bio_Solid,2050,2,1.8896167499999998,1280855
WY_NE-Bio_Solid,2050,3,2.64623625,2423562
WY_NE-Bio_Solid,2050,4,2.9973772499999995,4736630
WY_NE-Bio_Solid,2050,5,4.991322,7406876
WY_NE-Bio_Solid,2050,6,5.077779,8600101
WY_NE-Bio_Solid,2050,7,14.23654575,8607526
WY_NE-Bio_Solid,2050,8,16.52475825,9863822
WY_NE-Bio_Solid,2050,9,18.185433,10635252
WY_NE-Bio_Solid,2050,10,2521.6947,10676800
WY_NW-Bio_Solid,2050,1,0.9108172499999999,51561
WY_NW-Bio_Solid,2050,2,2.040192,415702
WY_NW-Bio_Solid,2050,3,3.9095227499999994,443798
