gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
CCGT_Cogen,AZ_SE,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CAN_ALB,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CAN_BC,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_LADWP,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_PGE_BAY,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_PGE_CEN,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_PGE_N,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_PGE_S,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_SCE_CEN,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_SCE_S,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_SDGE,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CA_SMUD,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CO_DEN,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,CO_E,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,ID_S_OR_E,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,NV_S,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,OR_E,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,OR_W,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,OR_WA_BPA,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,WA_W,Gas,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,AZ_APS_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,AZ_APS_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,AZ_APS_SW,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,AZ_NM_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,AZ_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,AZ_PHX,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,AZ_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CAN_ALB,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CAN_BC,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_IID,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_PGE_BAY,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_PGE_CEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_PGE_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_PGE_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_SCE_CEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_SCE_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_SCE_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_SCE_VLY,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_SDGE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CA_SMUD,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CO_DEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CO_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CO_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,CO_SW,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,ID_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,ID_S_OR_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,MEX_BAJA,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,MT_NE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,MT_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,MT_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,MT_SW,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,NM_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,NM_S_TX_EPE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,NV_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,NV_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,OR_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,OR_PDX,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,OR_W,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,OR_WA_BPA,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,UT_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,UT_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,WA_ID_AVA,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,WA_N_CEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,WA_W,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,WY_NE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,WY_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,WY_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_6h_Storage,WY_SW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,AZ_APS_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,AZ_APS_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,AZ_APS_SW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,AZ_NM_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,AZ_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,AZ_PHX,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,AZ_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CAN_ALB,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CAN_BC,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_IID,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_PGE_BAY,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_PGE_CEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_PGE_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_PGE_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_SCE_CEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_SCE_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_SCE_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_SCE_VLY,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_SDGE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CA_SMUD,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CO_DEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CO_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CO_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,CO_SW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,ID_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,ID_S_OR_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,MEX_BAJA,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,MT_NE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,MT_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,MT_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,MT_SW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,NM_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,NM_S_TX_EPE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,NV_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,NV_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,OR_E,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,OR_PDX,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,OR_W,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,OR_WA_BPA,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,UT_N,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,UT_S,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,WA_ID_AVA,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,WA_N_CEN,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,WA_W,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,WY_NE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,WY_NW,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,WY_SE,Solar,2050,0,0,0,0,0,0
CSP_Trough_No_Storage,WY_SW,Solar,2050,0,0,0,0,0,0
Central_PV,AZ_APS_E,Solar,2050,0.00047638,0,0,0,0,0
Central_PV,AZ_APS_N,Solar,2050,0.0070272,0,0,0,0,0
Central_PV,AZ_APS_SW,Solar,2050,50562,0,0,0,0,0
Central_PV,AZ_NM_N,Solar,2050,10503,0,0,0,0,0
Central_PV,AZ_NW,Solar,2050,9037.5,0,0,0,0,0
Central_PV,AZ_PHX,Solar,2050,20950,0,0,0,0,0
Central_PV,AZ_SE,Solar,2050,76776,0,0,0,0,0
Central_PV,CAN_ALB,Solar,2050,31209,0,0,0,0,0
Central_PV,CAN_BC,Solar,2050,4309.2,0,0,0,0,0
Central_PV,CA_IID,Solar,2050,36246,0,0,0,0,0
Central_PV,CA_PGE_BAY,Solar,2050,10499,0,0,0,0,0
Central_PV,CA_PGE_CEN,Solar,2050,44121,0,0,0,0,0
Central_PV,CA_PGE_N,Solar,2050,72377,0,0,0,0,0
Central_PV,CA_PGE_S,Solar,2050,29937,0,0,0,0,0
Central_PV,CA_SCE_CEN,Solar,2050,1.9311e+05,0,0,0,0,0
Central_PV,CA_SCE_S,Solar,2050,38559,0,0,0,0,0
Central_PV,CA_SCE_SE,Solar,2050,9875.2,0,0,0,0,0
Central_PV,CA_SCE_VLY,Solar,2050,5663,0,0,0,0,0
