GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
154585,2050,Hydro_NonPumped,CA_PGE_CEN,Water,4.4,0,0
154589,2050,Hydro_NonPumped,CO_E,Water,5.6,0,0
154590,2050,Hydro_NonPumped,CO_NW,Water,1,0,0
154593,2050,Hydro_NonPumped,WY_NW,Water,15,0,0
154600,2050,Hydro_NonPumped,CO_SW,Water,86.4,0,0
154601,2050,Hydro_NonPumped,CO_DEN,Water,45,0,0
154602,2050,Hydro_NonPumped,CO_SW,Water,173.2,0,0
154603,2050,Hydro_NonPumped,CO_DEN,Water,4.5,0,0
154604,2050,Hydro_NonPumped,CO_NW,Water,26,0,0
154605,2050,Hydro_NonPumped,CO_DEN,Water,8.1,0,0
154606,2050,Hydro_NonPumped,CO_DEN,Water,86,0,0
154607,2050,Hydro_Pumped,CO_DEN,Water,8.5,0,0
154608,2050,Hydro_NonPumped,CO_DEN,Water,38.2,0,0
154609,2050,Hydro_NonPumped,CO_NW,Water,5.6,0,0
154610,2050,Hydro_NonPumped,CO_NW,Water,9.9,0,0
154612,2050,Hydro_NonPumped,CA_PGE_N,Water,7.2,0,0
154613,2050,Hydro_NonPumped,CA_PGE_N,Water,10,0,0
154615,2050,Hydro_NonPumped,CA_PGE_CEN,Water,10.8,0,0
154618,2050,Hydro_NonPumped,AZ_NM_N,Water,30,0,0
154619,2050,Hydro_NonPumped,CA_IID,Water,5.7,0,0
154620,2050,Hydro_NonPumped,CA_IID,Water,2.4,0,0
154622,2050,Hydro_NonPumped,WA_W,Water,16.8,0,0
154623,2050,Hydro_NonPumped,CA_PGE_N,Water,1.4,0,0
154624,2050,Hydro_NonPumped,CA_PGE_N,Water,12.7,0,0
154625,2050,Hydro_NonPumped,CA_PGE_CEN,Water,139.5,0,0
154627,2050,Hydro_NonPumped,CA_PGE_N,Water,1.8,0,0
154628,2050,Hydro_NonPumped,CA_SCE_S,Water,23.9,0,0
154629,2050,Hydro_NonPumped,CA_PGE_CEN,Water,2.9,0,0
154630,2050,Hydro_NonPumped,CA_PGE_N,Water,12.1,0,0
154631,2050,Hydro_NonPumped,ID_E,Water,23.4,0,0
154632,2050,Hydro_NonPumped,ID_E,Water,92.4,0,0
154633,2050,Hydro_NonPumped,ID_S_OR_E,Water,75,0,0
154634,2050,Hydro_NonPumped,ID_S_OR_E,Water,675,0,0
154635,2050,Hydro_NonPumped,ID_S_OR_E,Water,82.8,0,0
154636,2050,Hydro_NonPumped,ID_S_OR_E,Water,12.4,0,0
