STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
5011_1,354816,3133
5011_1,354820,1687.5
5011_1,354824,686.8
5011_1,354828,458.97
5011_1,354832,1844.3
5011_1,354836,2892.2
5011_1,354840,3133
5011_1,354844,2226.4
5011_1,354848,1565.6
5011_1,354852,1565.6
5011_1,354856,2133.9
5011_1,354860,2697.8
5011_1,354864,3133
5011_1,354868,1659.7
5011_1,354872,725.15
5011_1,354876,725.15
5011_1,354880,1692.3
5011_1,354884,2615.9
5011_1,354888,2615.9
5011_1,354892,1489.7
5011_1,354896,456.5
5011_1,354900,451.3
5011_1,354904,1348.1
5011_1,354908,2057.2
5011_1,354912,2761.3
5011_1,354916,1532.9
5011_1,354920,610.23
5011_1,354924,610.23
5011_1,354928,1659.6
5011_1,354932,2318.9
5011_1,354936,2599.4
5011_1,354940,1379.7
5011_1,354944,250.01
5011_1,354948,3.5295
5011_1,354952,1266.6
5011_1,354956,2206.1
5011_1,354960,2931.9
5011_1,354964,1705.6
5011_1,354968,670.01
5011_1,354972,350.98
5011_1,354976,1379.9
5011_1,354980,2201.1
5011_1,354984,3133
5011_1,354988,2030
5011_1,354992,1147.6
5011_1,354996,512.01
5011_1,355000,1864.8
5011_1,355004,3133
5011_1,355008,3133
5011_1,355012,1841.1
5011_1,355016,802.47
5011_1,355020,95.804
