STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
5011_1,352316,288.76
5011_1,352320,207.74
5011_1,352324,14.632
5011_1,352328,14.493
5011_1,352332,14.893
5011_1,352336,582.11
5011_1,352340,504.34
5011_1,352344,510.4
5011_1,352348,435.76
5011_1,352352,448.51
5011_1,352356,447.92
5011_1,352360,493.18
5011_1,352364,471.92
5011_1,352368,487.16
5011_1,352372,440.61
5011_1,352376,452.28
5011_1,352380,442.78
5011_1,352384,505.22
5011_1,352388,483.26
5011_1,352392,510.95
5011_1,352396,406.2
5011_1,352400,425.55
5011_1,352404,420.76
5011_1,352408,520.37
5011_1,352412,500.42
5011_1,352416,541.4
5011_1,352420,306.09
5011_1,352424,332.62
5011_1,352428,314.56
5011_1,352432,615.15
5011_1,352436,428.21
5011_1,352440,447.11
5011_1,352444,194.94
5011_1,352448,211.58
5011_1,352452,213.2
5011_1,352456,317.1
5011_1,352460,327.76
5011_1,352464,639.39
5011_1,352468,217.73
5011_1,352472,229.86
5011_1,352476,227.05
5011_1,352480,505.24
5011_1,352484,516
5011_1,352488,506.73
5011_1,352492,412.02
5011_1,352496,428.7
5011_1,352500,428.05
5011_1,352504,476.53
5011_1,352508,463.6
5011_1,352512,480.18
5011_1,352516,414.13
5011_1,352520,422.46
5011_1,352524,400.84
5011_1,352528,517.84
5011_1,352532,476.18
5011_1,352536,510.58
5011_1,352540,416.28
5011_1,352544,435.11
5011_1,352548,442.38
5011_1,352552,460.83
5011_1,352556,473.9
5011_1,352560,446.35
5011_1,352564,407.79
5011_1,352568,416.82
5011_1,352572,412.66
5011_1,352576,481.22
5011_1,352580,482.5
5011_1,352584,480.75
5011_1,352588,432.83
5011_1,352592,440.39
5011_1,352596,441.03
5011_1,352600,480.33
5011_1,352604,468.22
5011_1,352608,481.49
5011_1,352612,434.79
5011_1,352616,450.88
5011_1,352620,452.59
5011_1,352624,468.37
5011_1,352628,465.16
5011_1,352632,492.41
5011_1,352636,409.87
5011_1,352640,425.19
5011_1,352644,432.01
5011_1,352648,491.28
5011_1,352652,485.95
5011_1,352656,498.57
5011_1,352660,408.07
5011_1,352664,419.44
5011_1,352668,423.07
5011_1,352672,503.2
5011_1,352676,489.84
5011_1,352680,538.79
5011_1,352684,339.81
5011_1,352688,372.59
5011_1,352692,374.56
5011_1,352696,439.95
5011_1,352700,546.43
5011_1,352704,509.26
5011_1,352708,12.332
5011_1,352712,12.421
5011_1,352716,12.594
5011_1,352720,40.621
5011_1,352724,287.37
5011_1,352728,334.53
5011_1,352732,12.378
5011_1,352736,12.436
5011_1,352740,12.505
5011_1,352744,520.47
5011_1,352748,469.71
5011_1,352752,532.06
5011_1,352756,416.25
5011_1,352760,426.26
5011_1,352764,427.44
5011_1,352768,525.99
5011_1,352772,498.34
5011_1,352776,563.04
5011_1,352780,70.832
5011_1,352784,74.807
5011_1,352788,74.112
5011_1,352792,145.89
5011_1,352796,796.19
5011_1,352800,149.74
5011_1,352804,22.892
5011_1,352808,22.181
5011_1,352812,24.479
5011_1,352816,573.65
5011_1,352820,483.54
5011_1,352824,475.71
5011_1,352828,464.01
5011_1,352832,465.5
5011_1,352836,473.31
5011_1,352840,473.72
5011_1,352844,480.24
5011_1,352848,529.89
5011_1,352852,376.29
5011_1,352856,402.82
5011_1,352860,414.72
5011_1,352864,477.72
5011_1,352868,536.71
5011_1,352872,478.33
5011_1,352876,123.71
5011_1,352880,134.01
5011_1,352884,145.31
5011_1,352888,339.85
5011_1,352892,329.27
5011_1,352896,331.99
5011_1,352900,132.26
5011_1,352904,138.47
5011_1,352908,141.78
5011_1,352912,531.2
5011_1,352916,541.21
5011_1,352920,470.85
5011_1,352924,410.29
5011_1,352928,428.28
5011_1,352932,420.06
5011_1,352936,505.13
5011_1,352940,480.34
5011_1,352944,485.21
5011_1,352948,469.62
5011_1,352952,475.03
5011_1,352956,481.05
5011_1,352960,479.68
5011_1,352964,479.28
5011_1,352968,494.17
5011_1,352972,441.06
5011_1,352976,469.79
5011_1,352980,464.43
5011_1,352984,482.52
5011_1,352988,477.11
5011_1,352992,487.14
5011_1,352996,446.21
5011_1,353000,456.03
5011_1,353004,470.12
5011_1,353008,486.08
5011_1,353012,481.77
5011_1,353016,525.52
5011_1,353020,396.95
5011_1,353024,430.1
5011_1,353028,438.94
5011_1,353032,484.68
5011_1,353036,487.76
5011_1,353040,483.95
5011_1,353044,428.61
5011_1,353048,439.06
5011_1,353052,423.99
5011_1,353056,512.98
5011_1,353060,493.31
5011_1,353064,496.62
5011_1,353068,445.25
5011_1,353072,463.41
5011_1,353076,464.44
5011_1,353080,487.1
5011_1,353084,482.67
5011_1,353088,490.89
5011_1,353092,445.46
5011_1,353096,459.22
